Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,66,62,49,39,44,35,22,25,26
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,58,57,51,46,42,53,41,26,28
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,47,56,52,45,41,33,28,37,8
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,44,39,45,34,40,35,26,24,22
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,38,45,26,35,38,29,18,22
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,187,182,230,147,82,83,64,64,47
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,161,171,245,150,71,78,60,60,44
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,134,167,192,144,78,70,56,57,45
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,239,210,302,188,130,93,90,79,54
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,145,140,223,110,75,70,57,53,36
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,66,63,89,59,22,23,15,14,15
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,62,58,75,29,23,11,21,13,7
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,57,54,93,45,23,20,14,13,13
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,43,39,62,34,11,14,13,16,16
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,41,60,24,17,12,13,12,8
